['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
404934344 17525 28.9 32.3 6 13111 240ac48df9dc 99 413
405934406 17527 28.9 32.3 5 13113 240ac48df9dc 99 419
406934503 17523 28.9 32.3 9 13104 240ac48df9dc 99 417
407934624 17519 28.9 32.3 3 13106 240ac48df9dc 99 413
408934583 17526 28.8 32.4 8 13107 240ac48df9dc 99 424
409934648 17522 28.7 32.4 15 13109 240ac48df9dc 99 419
410934507 17518 28.6 32.4 10 13105 240ac48df9dc 99 414
411934607 17517 28.5 32.4 13 13115 240ac48df9dc 99 414
412934676 17520 28.5 32.4 10 13116 240ac48df9dc 99 408
413934405 17516 28.8 32.3 14 13106 240ac48df9dc 99 415
414934652 17514 28.9 32.4 14 13102 240ac48df9dc 99 426
415934587 17513 29.1 32.3 18 13091 240ac48df9dc 99 437
416934669 17510 29.2 32.3 22 13095 240ac48df9dc 99 438
417934328 17505 29.2 32.3 22 13100 240ac48df9dc 99 437
418934674 17503 29.4 32.3 27 13101 240ac48df9dc 99 429
419934518 17506 29.6 32.4 28 13091 240ac48df9dc 99 438
420934586 17500 29.7 32.3 33 13090 240ac48df9dc 99 453
421934606 17502 29.7 32.3 37 13089 240ac48df9dc 99 467
422934654 17496 29.8 32.3 37 13079 240ac48df9dc 99 462
423934518 17505 29.9 32.3 32 13081 240ac48df9dc 99 470
424934231 17487 29.9 32.3 37 13074 240ac48df9dc 99 468
